1;;0.51;0.81;0.24;0.93;0.49;0.97;0.68;0.42;0.43;0.29;0.38;0.54;0.65;0.32;0.24;0.03;0.67;0.08;0.56;0.17;0.94;0.93;0.47;0.89;0.88;0.72
2;;0.54;0.84;0.26;0.97;0.08;0.50;1.04;0.24;0.46;0.75;0.15;0.57;0.05;0.80;0.35;0.13;0.19;0.18;0.56;0.63;0.14;0.49;0.27;0.45;0.72;0.23
6;;0.61;0.96;0.29;1.11;0.09;1.15;0.80;0.50;0.51;0.34;0.45;0.63;0.76;0.38;0.29;0.04;0.79;0.10;0.66;0.20;1.10;1.10;0.56;1.04;1.03;0.81
10;;0.64;1.00;0.31;1.17;0.10;1.17;0.83;0.51;0.52;0.35;0.46;0.65;0.79;0.39;0.30;0.04;0.82;0.10;0.69;0.21;1.15;1.14;0.60;1.12;1.11;0.87
14;;0.64;0.99;0.31;1.17;0.10;1.17;0.83;0.51;0.52;0.35;0.46;0.65;0.78;0.39;0.30;0.04;0.43;0.10;0.69;0.21;1.15;1.14;0.60;1.12;1.11;0.87
18;;0.64;0.99;0.31;1.17;0.10;1.17;0.83;0.51;0.52;0.35;0.46;0.65;0.79;0.39;0.30;0.04;0.43;0.10;0.71;0.73;1.19;1.18;0.62;1.13;1.12;0.88
22;;0.16;0.99;0.31;0.92;0.10;1.17;0.83;0.51;0.52;0.35;0.46;0.65;0.78;0.39;0.30;0.04;0.43;0.10;0.71;0.22;1.19;1.18;0.62;1.16;1.15;0.90
26;;0.16;1.00;0.31;0.93;0.10;1.18;0.83;0.51;0.52;0.35;0.47;0.65;0.79;0.39;0.30;0.04;0.45;0.32;0.75;0.23;1.25;1.24;0.65;1.19;1.17;0.92
30;;0.16;1.00;0.31;0.92;0.10;1.15;0.81;0.50;0.51;0.34;0.45;0.64;0.77;0.39;0.29;0.04;0.41;0.31;0.73;0.23;1.20;1.19;0.63;1.14;1.13;0.88
34;;0.16;0.99;0.31;0.92;0.09;1.14;0.81;0.50;0.51;0.34;0.45;0.63;0.76;0.38;0.29;0.04;0.41;0.31;0.70;0.72;1.25;1.18;0.62;1.13;1.11;0.87
38;;0.16;0.97;0.30;0.90;0.09;1.12;0.79;0.49;0.49;0.33;0.44;0.61;0.74;0.37;0.28;0.04;0.40;0.30;0.69;0.71;1.23;1.23;0.65;1.17;1.16;0.91
42;;0.16;0.99;0.31;0.92;0.09;1.14;0.80;0.51;0.52;0.35;0.46;0.64;0.77;0.39;0.29;0.04;0.41;0.31;0.70;0.73;1.28;1.27;0.67;1.21;1.20;0.94
46;;0.16;1.03;0.32;0.95;0.10;1.15;0.81;0.51;0.52;0.35;0.46;0.64;0.78;0.39;0.29;0.04;0.42;0.31;0.72;0.74;1.37;1.36;0.07;1.31;1.29;1.02
50;;0.18;1.10;0.34;1.02;0.11;1.23;0.86;0.55;0.56;0.38;0.49;0.69;0.83;0.42;0.31;0.04;0.45;0.33;0.77;0.80;1.46;1.45;0.07;1.48;1.47;1.14
54;;0.19;1.17;0.33;1.00;0.10;1.21;0.85;0.54;0.55;0.37;0.49;0.68;0.82;0.87;0.34;0.04;0.48;0.36;0.83;0.86;1.58;1.58;0.08;1.47;1.45;1.14
58;;0.18;1.15;0.33;0.99;0.10;1.21;0.85;0.54;0.55;0.37;0.49;0.69;0.83;0.88;0.34;0.04;0.49;0.36;0.73;0.76;1.39;1.38;0.07;1.41;1.40;1.10
62;;0.18;1.14;0.32;0.71;0.10;1.19;0.84;0.53;0.55;0.37;0.48;0.68;0.82;0.87;0.35;0.04;0.50;0.37;0.86;0.89;1.47;1.46;0.25;0.21;1.47;1.16
66;;0.18;1.10;0.31;0.68;0.10;1.15;0.81;0.51;0.53;0.36;0.46;0.64;0.77;0.82;0.32;0.04;0.45;0.34;0.78;0.81;1.33;1.32;0.23;0.19;1.33;1.05
70;;0.18;1.12;0.32;0.69;0.10;1.13;0.80;0.51;0.52;0.35;0.46;0.65;0.92;0.83;0.32;0.04;0.46;0.34;0.79;0.82;1.34;1.34;0.23;0.19;1.35;1.08
74;;0.18;1.15;0.32;0.69;0.10;1.13;0.80;0.50;0.52;0.35;0.46;0.64;0.78;0.83;0.32;0.04;0.46;0.34;0.79;0.82;1.34;1.33;0.23;0.19;1.34;1.06
78;;0.19;1.19;0.33;0.71;0.10;1.17;0.82;0.52;0.54;0.36;0.48;0.67;0.81;0.85;0.33;0.96;0.47;0.35;0.78;0.81;1.32;1.32;0.23;0.19;1.31;1.03
82;;0.18;1.10;0.31;0.66;0.09;1.08;0.76;0.48;0.50;0.34;0.44;0.61;0.76;0.79;0.31;0.04;0.58;0.33;0.76;0.79;1.38;1.31;0.22;0.19;1.32;1.04
86;;0.18;1.10;0.31;0.66;0.10;1.08;0.77;0.49;0.50;0.34;0.44;0.62;0.77;0.80;0.31;0.04;0.45;0.33;0.75;0.78;1.39;1.32;0.23;0.19;1.33;1.06
90;;0.06;1.16;0.33;0.70;0.10;1.14;0.81;0.51;0.53;0.36;0.47;0.65;0.81;0.85;0.33;0.04;0.47;0.34;0.78;0.84;1.50;1.42;0.24;0.20;1.39;1.11
94;;0.06;1.11;0.31;0.67;0.10;1.10;0.78;0.49;0.51;0.34;0.45;0.63;0.77;0.81;0.32;0.04;0.45;0.33;0.75;0.80;1.44;1.36;0.23;0.95;1.33;1.07
98;;0.06;1.10;0.31;0.66;0.09;1.08;0.76;0.48;0.50;0.34;0.44;0.62;0.76;0.80;0.31;0.04;0.44;0.32;0.75;0.80;1.43;1.35;0.23;0.95;1.30;1.04
102;;0.06;1.15;0.32;0.69;0.10;1.13;0.77;0.49;0.50;0.34;0.44;0.62;0.77;0.80;0.04;0.04;0.44;0.33;0.77;0.82;1.47;1.39;0.24;0.98;1.34;1.08
106;;0.05;1.06;0.30;0.63;0.09;1.04;0.71;0.45;0.46;0.33;0.43;0.60;0.74;0.80;0.04;0.04;0.44;0.33;0.77;0.82;1.46;1.38;0.24;0.97;1.33;1.07
110;;0.05;1.05;0.29;0.63;0.09;1.01;0.69;0.44;0.45;0.30;0.40;0.56;0.69;0.72;0.17;0.04;0.39;0.28;0.72;0.77;1.38;1.30;0.22;0.94;1.29;1.03
114;;0.05;1.03;0.29;0.62;0.09;1.00;0.69;0.43;0.45;0.29;0.38;0.54;0.66;0.69;0.16;0.03;0.37;0.27;0.69;0.74;1.32;1.25;0.21;0.46;1.23;0.99
118;;0.05;1.07;0.30;0.65;0.09;1.04;0.72;0.45;0.47;0.30;0.40;0.56;0.69;0.72;0.17;0.04;0.39;0.28;0.72;0.81;1.46;1.38;0.24;1.00;1.37;1.10
122;;0.05;0.99;0.28;0.60;0.09;0.97;0.67;0.42;0.43;0.28;0.37;0.52;0.64;0.67;0.16;0.03;0.37;0.27;0.68;0.77;1.38;1.30;0.22;0.94;1.29;1.08
126;;0.05;0.99;0.28;0.60;0.09;0.97;0.67;0.42;0.44;0.28;0.37;0.55;0.68;0.71;0.17;0.04;0.38;0.27;0.68;0.26;1.38;1.30;0.22;0.95;1.30;1.09
130;;0.05;0.98;0.27;0.59;0.08;0.95;0.66;0.41;0.43;0.28;0.37;0.54;0.67;0.70;0.16;0.12;0.37;0.26;0.66;0.25;1.34;1.27;0.22;0.91;1.26;1.05
134;;0.05;0.99;0.61;0.61;0.09;0.98;0.68;0.43;0.44;0.29;0.38;0.56;0.69;0.72;0.17;0.12;0.39;0.27;0.69;0.26;1.40;1.33;0.23;0.96;1.31;1.10
138;;0.05;0.97;0.59;0.60;0.09;0.97;0.68;0.43;0.44;0.80;0.38;0.56;0.73;0.77;0.18;0.13;0.41;0.28;0.74;0.28;1.49;1.41;0.24;1.02;1.40;1.17
142;;0.05;0.99;0.60;0.61;0.09;0.98;0.69;0.44;0.54;0.81;0.38;0.57;0.74;0.77;0.18;0.13;0.41;0.28;0.74;0.28;1.50;1.42;0.24;1.02;1.41;1.18
146;;0.05;0.99;0.61;0.62;0.09;0.98;0.70;0.44;0.55;0.81;0.39;0.57;0.74;0.77;0.18;0.13;0.42;0.29;0.75;0.28;1.51;1.43;0.23;0.98;1.35;1.13
150;;0.05;0.99;0.61;0.62;0.09;0.99;0.70;0.44;0.55;0.82;0.39;0.58;0.75;0.79;0.18;0.91;0.42;0.29;0.74;0.24;1.49;1.49;0.24;1.01;1.39;1.17
154;;0.05;0.95;0.58;0.59;0.08;0.95;0.69;0.43;0.54;0.80;0.38;0.57;0.74;0.77;0.18;0.13;0.18;0.28;0.73;0.24;1.47;1.47;0.24;1.00;1.37;0.18
158;;0.05;0.99;0.61;0.61;0.09;1.02;0.67;0.42;0.53;0.78;0.37;0.56;0.72;0.76;0.18;0.13;0.40;0.28;0.74;0.26;1.59;1.59;0.26;1.08;1.49;0.20
162;;0.05;1.00;0.61;0.62;0.09;1.03;0.68;0.43;0.53;0.79;0.38;0.56;0.73;0.76;0.18;0.13;0.40;0.28;0.74;0.26;1.60;1.60;0.26;1.09;1.50;0.20
166;;0.05;0.98;0.62;0.63;0.09;1.05;0.69;0.44;0.54;0.78;0.37;0.56;0.72;0.76;0.49;0.13;0.40;0.28;0.74;0.26;1.59;1.59;0.26;1.08;1.48;0.20
170;;0.05;0.82;0.62;0.63;0.09;0.99;0.69;0.43;0.54;0.93;0.37;0.55;0.72;0.75;0.17;0.13;0.41;0.28;0.76;0.27;1.63;1.63;0.27;1.11;1.53;0.20
174;;0.05;0.85;0.64;0.65;0.09;1.02;0.48;0.44;0.55;0.94;0.37;0.56;0.73;0.76;0.18;0.13;0.42;0.29;0.77;0.27;1.61;1.61;0.26;1.08;1.48;0.20
178;;0.05;0.84;0.63;0.64;0.09;1.01;0.48;0.44;0.56;0.96;0.38;0.57;0.74;0.78;0.18;0.13;0.43;0.29;0.78;0.28;1.69;1.69;0.27;1.14;1.56;0.21
182;;0.05;0.79;0.59;0.60;0.09;0.95;0.45;0.41;0.52;0.90;0.36;0.54;0.70;0.74;0.17;0.13;0.41;0.28;0.74;0.26;1.59;1.59;0.26;1.09;1.50;0.20
186;;0.05;0.81;0.61;0.62;0.93;1.02;0.48;0.44;0.57;0.97;0.39;0.59;0.76;0.80;0.19;0.14;0.44;0.30;0.80;0.28;1.72;1.72;0.28;1.17;1.66;0.22
190;;0.05;0.77;0.58;0.59;0.09;0.96;0.45;0.41;0.56;0.96;0.39;0.58;0.75;0.79;0.18;0.14;0.18;0.30;0.79;0.28;1.70;1.70;0.28;1.17;1.65;0.22
194;;0.05;0.73;0.55;0.56;0.08;0.91;0.42;0.39;0.52;0.90;0.36;0.54;0.70;0.74;0.17;0.13;0.41;0.28;0.74;0.26;1.59;1.59;0.26;1.09;1.54;0.20
198;;0.05;0.78;0.58;0.59;0.09;0.96;0.46;0.42;0.56;0.97;0.39;0.58;0.75;0.79;0.18;0.14;0.44;0.30;0.79;0.28;1.70;1.70;0.28;1.23;1.74;0.23
202;;0.05;0.72;0.54;0.55;0.08;0.89;0.42;0.39;0.53;0.90;0.36;0.55;0.71;0.74;0.17;0.13;0.41;0.28;0.76;0.27;1.62;1.62;0.27;1.17;1.65;0.23
206;;0.05;0.72;0.54;0.55;0.08;0.89;0.42;0.39;0.52;0.90;0.36;0.54;0.70;0.74;0.28;0.13;0.43;0.29;0.78;0.27;1.67;1.67;0.28;1.21;1.71;0.23
210;;0.04;0.70;0.53;0.54;0.08;0.87;0.41;0.38;0.51;0.88;0.35;0.53;0.71;0.75;0.29;0.63;0.42;0.29;0.76;0.27;1.64;1.64;0.27;1.18;1.67;0.22
214;;0.04;0.70;0.53;0.51;0.07;0.83;0.39;0.38;0.52;0.89;0.36;0.53;0.70;0.74;0.28;0.62;0.41;0.28;0.75;0.26;1.61;1.72;0.27;1.17;1.66;0.22
218;;0.05;0.72;0.55;0.52;0.08;0.85;0.40;0.39;0.53;0.92;0.37;0.55;0.72;0.76;0.29;0.64;0.42;0.29;0.77;0.27;1.66;1.77;0.30;1.26;1.78;0.24
222;;0.05;0.73;0.55;0.53;0.08;0.83;0.42;0.41;0.50;0.87;0.35;0.52;0.68;0.72;0.28;0.60;0.40;0.28;0.73;0.26;1.57;1.67;0.28;1.19;1.68;0.23
226;;0.05;0.77;0.58;0.56;0.08;0.88;0.44;0.43;0.55;0.91;0.37;0.54;0.74;0.77;0.30;0.65;0.43;0.30;0.78;0.27;1.68;1.79;0.30;1.32;1.87;0.26
